,City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,Rosamorada,22.1222,-105.2058,305.34,26,7,2.48,MX,1645466474
356,Huilong,31.8111,121.655,278.17,53,84,1.92,CN,1645466474
357,Kununurra,-15.7667,128.7333,299.14,89,70,0.0,AU,1645466474
358,Acaraú,-2.8856,-40.12,303.29,60,52,8.14,BR,1645466470
359,Nemuro,43.3236,145.575,268.08,77,100,14.4,JP,1645466475
360,San Quintín,30.4833,-115.95,288.3,54,81,5.93,MX,1645466476
361,Narasapuram,16.45,81.6667,297.58,80,22,2.31,IN,1645466476
362,Yeppoon,-23.1333,150.7333,296.03,84,21,4.74,AU,1645466421
363,Kikugawa,34.7563,138.0874,274.69,57,0,7.88,JP,1645466536
364,Swan Hill,-35.3378,143.5544,285.96,67,0,4.79,AU,1645466537
365,Beira,-19.8436,34.8389,301.2,78,40,5.66,MZ,1645466537
366,Banjar,-8.19,114.9675,299.07,86,100,1.9,ID,1645466537
367,Mayo,38.8876,-76.5119,292.12,40,0,3.6,US,1645466538
368,Adrar,20.5022,-10.0711,302.36,11,92,0.81,MR,1645466538
369,Vaitape,-16.5167,-151.75,300.27,77,95,8.93,PF,1645466538
370,Vostok,46.4856,135.8833,255.45,98,100,1.36,RU,1645466539
371,Namatanai,-3.6667,152.4333,298.87,82,100,1.28,PG,1645466539
372,Talnakh,69.4865,88.3972,262.75,84,100,8.54,RU,1645466539
373,Jishou,28.3167,109.7167,275.66,99,100,0.92,CN,1645466540
374,Bethanien,-26.502,17.1583,303.54,17,26,8.24,NA,1645466540
375,Turukhansk,65.8167,87.9833,264.64,87,100,7.95,RU,1645466540
376,Uvalde,29.3669,-99.767,301.22,40,0,4.63,US,1645466540
377,Bragança Paulista,-22.94,-46.5556,298.51,68,28,2.69,BR,1645466541
378,Flinders,-34.5833,150.8552,294.71,88,100,3.13,AU,1645466541
379,Vestmanna,62.1564,-7.1664,273.66,69,75,6.69,FO,1645466541
380,Shwebo,22.5667,95.7,290.91,70,68,5.46,MM,1645466542
381,Vestmannaeyjar,63.4427,-20.2734,276.7,93,100,28.29,IS,1645466542
382,Arrondissement de Limoges,45.75,1.3333,280.93,87,75,5.66,FR,1645466542
383,Hasaki,35.7333,140.8333,275.37,43,11,10.47,JP,1645466543
384,Aras,42.5617,-2.356,281.39,78,7,3.42,ES,1645466543
385,Harper,4.375,-7.7169,300.37,82,91,3.03,LR,1645466543
386,Malanje,-9.5402,16.341,292.68,81,93,1.33,AO,1645466543
387,Provideniya,64.3833,-173.3,265.14,95,100,4.05,RU,1645466544
388,Faya,18.3851,42.4509,287.76,30,57,2.45,SA,1645466544
389,Hauterive,46.0901,3.4459,281.57,81,69,6.39,FR,1645466544
390,Kattivākkam,13.2167,80.3167,301.2,86,40,4.04,IN,1645466545
391,Yangi Marg`ilon,40.4272,71.7189,282.83,42,20,1.67,UZ,1645466545
392,Bahir Dar,11.5936,37.3908,293.99,56,95,2.12,ET,1645466432
393,Parambu,-6.2111,-40.6944,304.15,44,76,4.23,BR,1645466546
394,Vammala,61.3333,22.9,270.69,93,100,7.49,FI,1645466546
395,Borogontsy,62.6683,131.1683,246.72,98,100,3.09,RU,1645466546
396,Hervey Bay,-25.2986,152.8535,295.38,91,2,2.24,AU,1645466547
397,Mattru,7.6244,-11.8332,303.79,57,84,3.7,SL,1645466547
398,Finschhafen,-6.6024,147.8681,300.48,79,100,4.13,PG,1645466547
399,Tucuruí,-3.7661,-49.6725,304.16,61,86,2.15,BR,1645466548
400,Sawtell,-30.3833,153.1,294.92,88,40,0.0,AU,1645466548
401,Muramvya,-3.2682,29.6079,287.54,91,100,0.66,BI,1645466548
402,Christchurch,-43.5333,172.6333,288.1,91,100,1.03,NZ,1645466387
403,Salinópolis,-0.6136,-47.3561,300.69,79,99,5.97,BR,1645466548
404,Labuhan,-6.8844,112.2051,298.52,86,100,3.89,ID,1645466549
405,Owando,-0.4819,15.8999,297.75,75,99,0.58,CG,1645466549
406,Biak,-0.9131,122.8766,296.66,84,100,3.17,ID,1645466549
407,Kem',64.9555,34.5793,256.02,99,38,2.3,RU,1645466550
408,Sirte,31.2089,16.5887,288.56,78,87,5.38,LY,1645466550
409,Lakes Entrance,-37.8811,147.981,287.91,70,63,1.13,AU,1645466550
410,Manzanillo,20.3433,-77.1167,303.82,39,2,6.18,CU,1645466411
411,Bārmer,25.75,71.3833,296.96,32,0,5.85,IN,1645466611
412,Tefé,-3.3542,-64.7114,302.79,75,95,2.0,BR,1645466611
413,Izmalkovo,52.6887,37.964,273.61,96,86,6.43,RU,1645466611
414,Miquelon,47.0975,-56.3814,276.15,86,98,13.72,PM,1645466612
415,Peniche,39.3558,-9.3811,291.89,76,27,7.92,PT,1645466612
416,Kahului,20.8947,-156.47,298.06,87,11,1.34,US,1645466426
417,Havre-St-Pierre,50.2334,-63.5986,265.35,67,40,12.35,CA,1645466612
418,Pisco,-13.7,-76.2167,295.94,88,99,4.12,PE,1645466613
419,Kitale,1.0157,35.0062,289.57,73,100,1.84,KE,1645466613
420,Maţāy,28.419,30.7792,290.42,35,50,2.77,EG,1645466613
421,Balakhta,55.38,91.6,253.2,100,51,0.22,RU,1645466614
422,Los Llanos de Aridane,28.6585,-17.9182,289.01,70,40,3.58,ES,1645466614
423,São Miguel do Araguaia,-13.275,-50.1628,298.35,87,99,2.52,BR,1645466614
424,Grand-Santi,4.25,-54.3833,301.88,79,66,1.64,GF,1645466615
425,Bonavista,48.6499,-53.1147,274.93,73,89,12.23,CA,1645466615
426,Lavrentiya,65.5833,-171.0,266.43,96,100,1.72,RU,1645466615
427,Mujiayingzi,42.1167,118.7833,255.38,77,1,3.64,CN,1645466615
428,Broken Hill,-31.95,141.4333,290.49,34,1,7.02,AU,1645466616
429,Zaporizhia,47.8167,35.1833,278.52,65,0,4.0,UA,1645466616
430,Anloga,5.7947,0.8973,301.07,80,36,6.08,GH,1645466616
431,Souillac,-20.5167,57.5167,300.57,90,67,8.46,MU,1645466617
432,Wewak,-3.5534,143.6268,299.11,87,100,4.21,PG,1645466617
433,Cravo Norte,6.3017,-70.2041,309.13,25,25,5.68,CO,1645466617
434,Kargasok,59.0556,80.8572,265.16,88,100,4.75,RU,1645466480
435,Vega de Alatorre,20.0333,-96.6333,300.54,58,4,7.12,MX,1645466618
436,Paamiut,61.994,-49.6678,254.74,78,1,3.65,GL,1645466618
437,Mahon,39.8885,4.2658,286.46,67,0,2.57,ES,1645466618
438,Moerai,-22.4333,-151.3333,299.76,74,5,6.2,PF,1645466619
439,Sittwe,20.15,92.9,293.84,84,94,2.31,MM,1645466619
440,Semnan,35.5729,53.3971,280.9,52,38,3.32,IR,1645466619
441,Petropavlovsk-Kamchatskiy,53.0452,158.6483,267.25,79,100,10.84,RU,1645466620
442,Taoudenni,22.6783,-3.9836,304.85,8,100,3.68,ML,1645466620
443,Chardara,41.2547,67.9692,282.94,55,22,4.91,KZ,1645466620
444,Portland,45.5234,-122.6762,278.65,90,75,2.24,US,1645465920
445,Winchester,51.0651,-1.3187,283.71,61,20,7.72,GB,1645466546
446,Kaitangata,-46.2817,169.8464,287.55,62,31,2.33,NZ,1645466621
447,Houma,29.5958,-90.7195,299.15,78,40,7.2,US,1645466567
448,Manga,11.6636,-1.0731,304.7,7,65,3.63,BF,1645466621
449,Camacha,33.0833,-16.3333,289.57,72,40,7.2,PT,1645466621
450,Montrose,38.4166,-108.2673,275.65,37,100,9.55,US,1645466622
451,Constitución,-35.3333,-72.4167,292.04,64,100,3.98,CL,1645466622
452,Auki,-8.7676,160.7034,298.8,86,99,1.75,SB,1645466622
453,Lethem,3.3803,-59.7968,309.0,33,39,4.52,GY,1645466622
454,Srīvardhan,18.0333,73.0167,295.74,61,3,2.21,IN,1645466623
455,Evanston,42.0411,-87.6901,282.34,82,75,3.09,US,1645466357
456,Hanawa,40.1836,140.7872,267.0,93,100,7.26,JP,1645466623
457,Katobu,-4.9408,122.5276,296.61,86,100,3.3,ID,1645466624
458,Inta,66.0317,60.1659,267.38,96,99,3.01,RU,1645466684
459,Chistogorskiy,53.9835,87.3843,257.47,100,49,1.18,RU,1645466684
460,Korla,41.7597,86.1469,271.77,43,0,0.91,CN,1645466685
461,Puchezh,56.9788,43.1676,272.68,95,100,4.45,RU,1645466685
462,Massakory,12.996,15.7293,300.61,11,8,4.84,TD,1645466686
463,Dwārka,22.2394,68.9678,295.97,78,0,5.02,IN,1645466687
464,Bintulu,3.1667,113.0333,297.32,88,100,1.11,MY,1645466687
465,Hamilton,39.1834,-84.5333,289.81,47,79,1.34,US,1645466430
466,Lyuban',52.7985,28.0048,278.39,92,100,7.8,BY,1645466687
467,Bonfim,3.0833,-59.95,307.45,36,47,2.29,BR,1645466688
468,Camopi,3.1655,-52.3158,299.72,92,92,1.88,GF,1645466688
469,Pochutla,15.7432,-96.4661,305.83,40,2,4.04,MX,1645466688
470,Huai'an,33.5886,119.0192,275.23,56,69,2.49,CN,1645466688
471,Departamento de Maldonado,-34.6667,-54.9167,296.81,67,81,7.59,UY,1645466689
472,João Câmara,-5.5375,-35.8197,302.73,40,63,7.07,BR,1645466689
473,Azovskaya,44.7908,38.6264,280.12,86,85,4.0,RU,1645466689
474,Vila,42.0304,-8.1588,285.64,75,14,1.83,PT,1645466690
475,Balkhash,46.844,74.9804,262.29,87,45,4.35,KZ,1645466690
476,Lima,-12.0432,-77.0282,296.7,65,100,0.89,PE,1645466522
477,Belyy Yar,53.6039,91.3903,253.09,84,65,1.0,RU,1645466690
478,South Lake Tahoe,38.9332,-119.9844,273.32,59,0,3.6,US,1645466691
479,Lucapa,-8.4192,20.7447,293.54,87,100,0.81,AO,1645466691
480,Dunedin,-45.8742,170.5036,288.6,79,1,1.79,NZ,1645466514
481,Dubti,11.7361,41.0853,303.25,37,84,4.84,ET,1645466691
482,Hailar,49.2,119.7,242.86,100,90,1.46,CN,1645466692
483,Puerto Colombia,10.9878,-74.9547,303.2,67,4,10.27,CO,1645466644
484,Maceió,-9.6658,-35.7353,303.84,58,40,7.2,BR,1645466468
485,Maniitsoq,65.4167,-52.9,251.72,92,79,2.14,GL,1645466692
486,Shenjiamen,29.9576,122.298,278.55,54,96,3.51,CN,1645466692
487,Kavaratti,10.5669,72.642,300.49,65,28,4.79,IN,1645466693
488,Omboué,-1.5746,9.2618,299.27,81,100,2.09,GA,1645466693
489,Metro,-5.1131,105.3067,295.41,92,93,3.14,ID,1645466693
490,Westport,41.1415,-73.3579,285.53,51,80,0.89,US,1645466427
491,Novoil'insk,51.6829,108.7143,251.3,100,81,0.85,RU,1645466694
492,Ustyuzhna,58.8394,36.4321,271.35,92,100,3.35,RU,1645466694
493,Machado,-21.6747,-45.9197,297.94,76,93,1.39,BR,1645466694
494,Moctezuma,29.8,-109.6667,286.62,58,95,7.76,MX,1645466695
495,Mitú,1.1983,-70.1733,306.67,35,71,2.22,CO,1645466695
496,Alyangula,-13.8483,136.4192,301.66,73,73,2.61,AU,1645466695
497,Semporna,4.4818,118.6112,296.73,94,100,2.95,MY,1645466696
498,Tsimmerbude,54.675,20.1347,278.18,81,77,11.87,RU,1645466696
499,Guozhen,34.3659,107.359,275.61,48,94,1.26,CN,1645466696
500,Úvaly,50.0739,14.7308,279.75,60,23,9.48,CZ,1645466697
501,Juneau,58.3019,-134.4197,270.18,67,40,0.0,US,1645466697
502,Rome,43.2128,-75.4557,286.07,35,0,0.89,US,1645466643
503,Newbridge,55.9333,-3.4,280.32,67,20,3.09,GB,1645466757
504,Naze,28.3667,129.4833,284.14,62,96,5.11,JP,1645466758
505,Nhulunbuy,-12.2333,136.7667,300.49,89,66,1.54,AU,1645466758
506,Te Anau,-45.4167,167.7167,286.3,95,99,3.03,NZ,1645466509
507,Newtownards,54.5924,-5.6909,282.12,77,20,4.12,GB,1645466758
508,City of San Pedro,14.35,121.0167,299.44,77,100,3.74,PH,1645466759
509,Cabo San Lucas,22.8909,-109.9124,301.76,47,20,2.06,MX,1645466759
510,Kayasula,44.325,45.0,280.42,82,100,2.09,RU,1645466759
511,Khingansk,49.1167,131.1833,249.22,100,100,1.68,RU,1645466760
512,Gazli,40.1333,63.45,283.74,35,100,6.74,UZ,1645466760
513,Shanghai,31.2222,121.4581,278.11,46,0,1.0,CN,1645466581
514,Ballina,-28.8667,153.5667,293.68,98,39,0.4,AU,1645466760
515,Puerto Escondido,15.85,-97.0667,303.61,70,0,6.69,MX,1645466761
516,Khanbari,27.3747,87.2039,281.9,68,47,2.16,NP,1645466761
517,Uyuni,-20.4597,-66.825,291.21,21,41,6.05,BO,1645466761
518,Kieta,-6.2167,155.6333,299.58,80,100,1.2,PG,1645466762
519,Husavik,66.0449,-17.3389,273.87,75,100,12.86,IS,1645466762
520,Nyimba,-14.5566,30.8149,294.04,95,79,0.8,ZM,1645466762
521,Yinchuan,38.4681,106.2731,268.09,31,0,1.79,CN,1645466762
522,Medicine Hat,50.0501,-110.6683,254.66,81,100,0.89,CA,1645466550
523,Mtwara,-10.2667,40.1833,300.44,89,100,2.47,TZ,1645466763
524,Wajid,3.8093,43.2471,302.59,24,87,4.86,SO,1645466763
525,Nyurba,63.2842,118.3319,261.43,94,99,3.45,RU,1645466764
526,Panaci,47.2667,25.3833,275.06,74,98,2.64,RO,1645466764
527,Byron Bay,-28.65,153.6167,296.12,87,39,0.98,AU,1645466350
528,Daru,-9.0763,143.2092,299.53,86,99,1.71,PG,1645466764
529,Road Town,18.4167,-64.6167,302.2,65,40,5.14,VG,1645466765
530,Pangnirtung,66.1451,-65.7125,243.47,87,96,0.52,CA,1645466765
531,La Paz,-16.5,-68.15,286.08,57,91,2.99,BO,1645466405
532,Havelock,34.8791,-76.9013,294.14,82,77,0.45,US,1645466713
533,Şabyā,17.1495,42.6254,298.23,65,84,3.85,SA,1645466766
534,Nikki,9.9401,3.2108,303.56,12,54,1.76,BJ,1645466766
535,Nouadhibou,20.931,-17.0347,291.98,68,100,9.41,MR,1645466766
536,Ossora,59.2353,163.0719,245.06,86,22,2.09,RU,1645466767
537,Nara,34.6851,135.8049,276.75,42,34,3.78,JP,1645466523
538,Yaan,7.3833,8.5667,306.29,11,47,2.45,NG,1645466767
539,Galesong,-5.3166,119.3661,297.16,85,100,4.69,ID,1645466767
540,Grand Gaube,-20.0064,57.6608,300.58,85,48,4.92,MU,1645466768
541,Kapit,2.0167,112.9333,295.32,99,100,0.38,MY,1645466768
542,Rockport,28.0206,-97.0544,301.29,81,0,10.29,US,1645466516
543,Anau,-16.5167,-151.7333,300.22,77,96,8.93,PF,1645466769
544,Mandalgovi,45.7625,106.2708,258.33,77,0,3.4,MN,1645466769
545,Shingū,33.7333,135.9833,276.43,60,4,3.86,JP,1645466769
546,Killybegs,54.6333,-8.45,281.18,87,81,3.56,IE,1645466769
547,Coyhaique,-45.5752,-72.0662,291.21,39,40,4.63,CL,1645466770
548,Polunochnoye,60.8697,60.4153,265.03,88,43,3.05,RU,1645466830
549,Petrozavodsk,61.7849,34.3469,267.99,94,99,1.98,RU,1645466830
550,Qui Nhon,13.7667,109.2333,293.71,81,99,8.22,VN,1645466728
551,Tezu,27.9167,96.1667,284.28,59,7,2.08,IN,1645466831
552,Grahamstown,-33.3042,26.5328,288.83,82,27,2.54,ZA,1645466831
553,Kargil,34.5667,76.1,252.98,76,90,0.76,IN,1645466831
554,Ambon City,-3.6954,128.1814,298.23,88,40,2.06,ID,1645466832
555,Bilibino,68.0546,166.4372,237.05,99,89,0.11,RU,1645466832
556,Neiafu,-18.65,-173.9833,300.53,89,75,4.12,TO,1645466833
557,Shelburne,44.0787,-80.2041,273.73,97,100,3.7,CA,1645466833
558,Nyrob,60.733,56.7202,268.58,94,100,4.26,RU,1645466833
559,Gamba,-2.65,10.0,299.9,81,99,2.56,GA,1645466833
